# Energies per box
# Cycle, LJ_Inter, LJ_tail, LJ_Inter_Total, EL_Real, EL_Excl, EL_Self, EL_Four,                                                EL_Inter, LJ_Intra, EL_Intra, E_Bending, E_Torsion, E_Total
     19000  -0.7070161785E+006  -0.2851620083E+005  -0.7355323794E+006  -0.3025465541E+006   0.4604706738E+007  -0.5795388710E+007   0.3430991994E+005  -0.1458918606E+007   0.2684022820E+004   0.7176099792E+006   0.4036075374E+006  -0.5293946128E+005  -0.1123488907E+007
     20000  -0.7045248635E+006  -0.2852307292E+005  -0.7330479364E+006  -0.2987252152E+006   0.4596175579E+007  -0.5786916566E+007   0.3213604113E+005  -0.1457330161E+007  -0.7847133332E+003   0.7132992729E+006   0.4117249932E+006  -0.4928927676E+005  -0.1115427822E+007
     21000  -0.7016185982E+006  -0.2858218053E+005  -0.7302007787E+006  -0.3030264312E+006   0.4612757240E+007  -0.5803298062E+007   0.3285824932E+005  -0.1460709003E+007  -0.7480112065E+004   0.7197565144E+006   0.4079093628E+006  -0.5190302782E+005  -0.1122627045E+007
     22000  -0.6943218873E+006  -0.2822492050E+005  -0.7225468078E+006  -0.3046451544E+006   0.4608628425E+007  -0.5799891445E+007   0.3518427187E+005  -0.1460723902E+007  -0.1327919978E+004   0.7235401476E+006   0.3974937988E+006  -0.5458622117E+005  -0.1118150904E+007
     23000  -0.6878039035E+006  -0.2819984591E+005  -0.7160037494E+006  -0.2986239757E+006   0.4598689143E+007  -0.5790079037E+007   0.3771712970E+005  -0.1452296740E+007  -0.4242579594E+004   0.7267561305E+006   0.4042091482E+006  -0.4895392091E+005  -0.1090531711E+007
     24000  -0.7122702451E+006  -0.2856503362E+005  -0.7408352788E+006  -0.2972975452E+006   0.4595027750E+007  -0.5786637223E+007   0.3378243681E+005  -0.1455124581E+007  -0.1085300434E+004   0.7254340400E+006   0.4031519405E+006  -0.5386231295E+005  -0.1122321493E+007
     25000  -0.7074145780E+006  -0.2890574256E+005  -0.7363203205E+006  -0.2963380096E+006   0.4601136433E+007  -0.5792345687E+007   0.3511954129E+005  -0.1452427723E+007  -0.2080969905E+004   0.7262226474E+006   0.3870605507E+006  -0.5551056346E+005  -0.1133056378E+007
     26000  -0.6989897647E+006  -0.2851939483E+005  -0.7275091595E+006  -0.2971268612E+006   0.4596096780E+007  -0.5786637223E+007   0.3347292069E+005  -0.1454194383E+007  -0.4923480364E+004   0.7249762017E+006   0.3989176367E+006  -0.5666414984E+005  -0.1119397335E+007
     27000  -0.6990460442E+006  -0.2852816339E+005  -0.7275742076E+006  -0.2994234012E+006   0.4596680422E+007  -0.5786637223E+007   0.2946076954E+005  -0.1459919432E+007  -0.2326093730E+004   0.7275234026E+006   0.4015509203E+006  -0.5351381884E+005  -0.1114259229E+007
     28000  -0.7033027074E+006  -0.2883465023E+005  -0.7321373577E+006  -0.3029988678E+006   0.4596033711E+007  -0.5786637223E+007   0.3078354590E+005  -0.1462818833E+007  -0.4286982414E+004   0.7234025742E+006   0.3854349169E+006  -0.5825811364E+005  -0.1148663795E+007
